,ssndataquality,dobdataquality,firstentrydate,state,matchingpersonalid,isbcpp,isbcpes,istlp,ismgh,issop,whenupdateddate,cleandashage,cleandashrace,cleandashethnicity,cleandashgender
19980,1,1,10/25/2013,la,180002316,,,1.0,,1.0,20243,18,2.0,,1.0
20007,8,1,1/14/2016,ok,190007308,,1.0,1.0,,,20472,16,4.0,,
20034,1,99,11/4/2014,ok,190007335,,,1.0,,1.0,20303,17,4.0,,
20048,9,1,1/14/2016,ok,190007349,,,1.0,,1.0,20426,16,4.0,,1.0
20057,9,1,9/9/2015,ok,190007358,,,1.0,,1.0,20426,16,4.0,,1.0
20059,9,1,1/14/2016,ok,190007360,,,1.0,,1.0,20426,18,999.0,999.0,1.0
20061,9,1,1/14/2016,ok,190007362,,,1.0,,1.0,20426,19,4.0,,1.0
20423,8,1,10/27/2015,ok,190007730,,1.0,,,1.0,20434,17,5.0,,
20453,1,1,12/3/2015,ok,190007761,,1.0,,,1.0,20458,17,4.0,,1.0
20495,8,1,11/18/2015,ok,190007804,,1.0,,,1.0,20240,17,4.0,,1.0
20517,1,1,4/4/2012,ok,190007826,,1.0,,,1.0,20522,13,5.0,,
20552,1,1,7/22/2015,ok,190007863,,1.0,,,1.0,20487,15,5.0,,
20553,1,1,2/2/2015,ok,190007864,,1.0,,,1.0,20423,16,5.0,,
20559,1,1,5/12/2015,ok,190007870,,1.0,,,1.0,20423,16,2.0,,
20576,1,1,10/14/2015,ok,190007887,,1.0,,,1.0,20368,17,,1.0,
20619,1,1,10/2/2015,ok,190007931,,1.0,,,1.0,20460,17,2.0,1.0,1.0
20629,1,1,12/22/2015,ok,190007941,,1.0,,,1.0,20425,17,2.0,,1.0
20674,1,1,12/17/2015,ok,190007987,,1.0,,,1.0,20431,17,4.0,,
20756,1,1,3/28/2016,ok,190008071,,1.0,,,1.0,20543,17,4.0,,1.0
20763,1,99,12/17/2015,ok,190008078,,1.0,,,1.0,20460,16,2.0,,
20770,1,1,6/9/2015,ok,190008086,,1.0,,,1.0,20424,16,2.0,,
20821,1,99,1/11/2015,ok,190008138,,1.0,,,1.0,20417,17,5.0,,1.0
20899,1,1,2/19/2016,ok,190008217,,1.0,,,1.0,20475,17,4.0,,
20937,8,1,8/20/2015,ok,190008255,,1.0,,,1.0,20417,17,5.0,,1.0
21384,1,1,2/11/2015,nm,200001394,,1.0,1.0,,,20110,17,4.0,,1.0
21401,1,99,9/8/2014,nm,200001411,,1.0,1.0,,,20016,17,4.0,1.0,
21449,8,1,8/26/2015,tx,200001468,,1.0,1.0,,,20333,17,4.0,1.0,1.0
21628,2,1,9/9/2015,tx,200001738,,,1.0,,1.0,20290,21,5.0,,1.0
21630,1,99,3/28/2014,tx,200001740,,,1.0,,1.0,20480,20,4.0,,
21634,8,1,1/11/2016,tx,200001744,,,1.0,1.0,,20437,19,4.0,1.0,
21636,1,1,10/1/2015,tx,200001746,,,1.0,,1.0,20327,20,4.0,,1.0
21637,8,1,7/1/2015,tx,200001747,,,1.0,,1.0,20097,21,4.0,1.0,
21667,1,1,10/9/2014,tx,200001777,,,,1.0,1.0,20418,21,2.0,,
21836,8,99,4/15/2015,ia,210002061,,1.0,1.0,,,20558,17,4.0,,1.0
21837,1,99,4/11/2015,mo,210003216,,,1.0,,1.0,20417,19,5.0,,
21839,8,99,5/29/2014,mo,210003219,,,1.0,,1.0,20423,19,5.0,,3.0
21840,1,1,10/29/2014,mo,210003220,,,1.0,,1.0,20423,18,2.0,,1.0
21841,1,1,1/3/2015,mo,210003221,,,1.0,,1.0,20538,17,4.0,,
21845,8,99,2/17/2015,mo,210003228,,,1.0,,1.0,20565,999,999.0,999.0,999.0
21848,9,99,10/8/2014,mo,210003237,,,1.0,,1.0,20424,19,4.0,,
21849,1,99,10/14/2014,mo,210003240,,,1.0,,1.0,20425,19,2.0,,1.0
21852,1,1,10/21/2015,mo,210003243,,,1.0,,1.0,20415,18,2.0,,1.0
21855,1,99,2/9/2015,mo,210003249,,,1.0,,1.0,20565,999,999.0,999.0,999.0
21856,1,99,7/17/2014,mo,210003250,,,1.0,,1.0,20425,18,2.0,,1.0
21857,1,99,1/7/2015,mo,210003252,,,1.0,,1.0,20425,17,2.0,,
21858,1,99,5/30/2015,mo,210003253,,,1.0,,1.0,20535,18,5.0,,1.0
21861,1,99,1/27/2015,mo,210003257,,,1.0,,1.0,20425,18,4.0,,
21862,1,99,9/8/2014,mo,210003259,,,1.0,,1.0,20415,18,2.0,,
21868,1,99,4/18/2015,mo,210003269,,,1.0,,1.0,20506,18,2.0,,
21870,1,99,8/5/2015,mo,210003272,,,1.0,,1.0,20416,19,4.0,,1.0
21871,8,1,8/11/2015,mo,210003273,,,1.0,,1.0,20415,19,2.0,,1.0
21872,1,99,9/4/2015,mo,210003274,,,1.0,,1.0,20537,16,4.0,,
21873,1,99,9/25/2015,mo,210003275,,,1.0,,1.0,20565,999,999.0,999.0,999.0
21874,1,99,9/17/2015,mo,210003276,,,1.0,,1.0,20570,999,999.0,999.0,999.0
21875,8,1,10/26/2015,mo,210003277,,,1.0,,1.0,20415,17,2.0,,
21877,1,99,5/20/2015,mo,210003279,,,1.0,,1.0,20415,18,2.0,,1.0
21884,1,99,10/21/2015,mo,210003286,,,1.0,,1.0,20566,999,999.0,999.0,999.0
21889,1,1,12/20/2015,mo,210003291,,,1.0,,1.0,20534,18,,,1.0
21890,1,1,3/22/2016,mo,210003292,,,1.0,,1.0,20537,18,2.0,,1.0
21892,1,99,12/10/2015,mo,210003294,,,1.0,,1.0,20534,19,4.0,,1.0
21895,1,1,1/18/2016,mo,210003297,,,1.0,,1.0,20537,19,2.0,,1.0
21896,1,1,2/13/2016,mo,210003298,,,1.0,,1.0,20541,19,4.0,,3.0
22026,1,1,4/17/2014,ia,210004178,,1.0,1.0,,1.0,20248,20,5.0,1.0,
22027,1,1,5/11/2015,ia,210004179,,1.0,1.0,,,20219,17,2.0,,
22037,8,1,5/11/2015,ia,210004189,,1.0,1.0,,,20237,11,2.0,,1.0
22043,1,1,1/7/2015,ia,210004195,,1.0,1.0,,,20096,11,5.0,,
22063,1,1,5/13/2015,ia,210004215,,,1.0,,1.0,20131,21,2.0,,
22064,1,1,1/21/2015,ia,210004216,,1.0,1.0,,,20068,23,2.0,,
22068,1,99,4/14/2015,ia,210004220,,,1.0,,1.0,20227,19,2.0,,
22079,8,1,2/24/2015,ia,210004231,,1.0,1.0,,,20068,11,2.0,,
22156,1,99,4/9/2015,ia,210004406,,1.0,,,1.0,20565,999,999.0,999.0,999.0
22161,8,1,3/13/2015,ia,210004415,,1.0,1.0,,,20207,17,2.0,,
22163,1,1,2/3/2015,ia,210004422,,1.0,,,1.0,20123,17,4.0,,1.0
22165,1,1,12/23/2015,ia,210004425,,1.0,1.0,,1.0,20446,21,2.0,,1.0
22170,1,99,6/11/2015,ia,210004433,,1.0,1.0,,,20558,21,4.0,1.0,1.0
22171,8,1,2/18/2016,ia,210004434,,1.0,1.0,,1.0,20405,18,4.0,,1.0
22172,1,1,3/19/2015,ia,210004439,,1.0,,,1.0,20138,19,2.0,,1.0
22173,1,99,9/10/2015,ia,210004440,,1.0,1.0,,1.0,20558,999,999.0,999.0,999.0
22175,1,1,12/16/2015,ia,210004442,,1.0,1.0,,1.0,20429,20,4.0,,1.0
22176,1,99,12/3/2014,ia,210004443,,1.0,1.0,,1.0,20558,19,4.0,1.0,
22177,1,1,10/15/2015,ia,210004445,,1.0,1.0,,,20373,19,4.0,,
22178,8,1,12/17/2014,ia,210004446,,1.0,1.0,,,20069,18,4.0,,1.0
22179,1,1,2/17/2016,ia,210004450,,1.0,1.0,,1.0,20495,20,4.0,1.0,1.0
22181,1,1,10/24/2015,ia,210004454,,1.0,1.0,,,20387,18,4.0,,
22185,1,99,9/13/2014,ia,210004464,,1.0,,,1.0,20558,999,999.0,999.0,999.0
22188,1,1,1/6/2015,ia,210004471,,1.0,,,1.0,20111,17,4.0,,
22189,1,1,7/2/2015,ia,210004472,,1.0,1.0,,,20271,20,4.0,,
22192,1,1,3/2/2016,ia,210004478,,1.0,1.0,,,20516,20,4.0,1.0,1.0
22194,1,99,5/20/2015,ia,210004480,,1.0,1.0,,,20370,20,4.0,1.0,1.0
22197,9,99,1/21/2015,ia,210004490,,1.0,1.0,,1.0,20558,999,999.0,999.0,999.0
22198,1,99,1/27/2016,ia,210004491,,1.0,1.0,,1.0,20497,18,4.0,,1.0
22199,1,1,9/28/2015,ia,210004492,,1.0,,,1.0,20354,18,4.0,1.0,
22200,9,99,8/28/2015,ia,210004493,,1.0,1.0,,1.0,20410,19,4.0,,1.0
22201,1,1,12/31/2014,ia,210004496,,1.0,1.0,,,20067,18,2.0,,
22202,1,1,12/29/2015,ia,210004497,,1.0,1.0,,1.0,20432,19,4.0,,1.0
22205,1,1,7/29/2015,ia,210004503,,1.0,,,1.0,20260,18,4.0,,
22207,2,1,3/14/2016,ia,210004509,,1.0,1.0,,,20528,20,4.0,,
22211,1,1,1/27/2016,ia,210004521,,1.0,1.0,,1.0,20527,20,2.0,,1.0
22212,1,1,10/8/2015,ia,210004524,,1.0,1.0,,,20408,18,,,
22214,1,1,3/26/2015,ia,210004526,,1.0,,,1.0,20175,18,4.0,,1.0
22217,1,1,2/3/2015,ia,210004531,,1.0,1.0,,1.0,20113,18,5.0,,
22218,1,1,6/24/2015,ia,210004532,,1.0,1.0,,,20263,21,2.0,,
22219,1,1,7/9/2015,ia,210004533,,1.0,1.0,,1.0,20273,21,4.0,1.0,1.0
22220,1,99,3/4/2015,ia,210004535,,1.0,1.0,,1.0,20558,999,999.0,999.0,999.0
22221,1,99,8/14/2015,ia,210004537,,1.0,,,1.0,20399,18,4.0,,3.0
22222,1,99,12/10/2014,ia,210004539,,1.0,1.0,,,20558,999,999.0,999.0,999.0
22223,8,99,1/31/2015,ia,210004541,,1.0,1.0,,1.0,20558,999,999.0,999.0,999.0
22224,1,99,10/1/2014,ia,210004542,,1.0,1.0,,1.0,20558,999,999.0,999.0,999.0
22225,1,99,4/23/2014,ia,210004543,,1.0,,,1.0,20558,999,999.0,999.0,999.0
22227,1,1,5/8/2015,ia,210004547,,1.0,1.0,,,20202,20,2.0,,1.0
22228,1,1,1/16/2015,ia,210004548,,1.0,1.0,,1.0,20071,18,2.0,,
22345,1,1,3/24/2016,ia,210005063,,,1.0,,1.0,20299,18,4.0,,1.0
22357,1,99,5/1/2014,ia,210005081,,,1.0,,1.0,20558,999,999.0,999.0,999.0
22360,2,1,1/6/2016,ia,210005086,,,1.0,,1.0,20422,18,4.0,,1.0
22403,1,99,8/5/2015,ia,210005136,,,1.0,,1.0,20367,19,2.0,,1.0
22428,1,1,6/29/2015,ia,210005166,,,1.0,,1.0,20257,18,4.0,,
22721,8,1,10/21/2014,co,220004329,,1.0,,,1.0,20361,16,4.0,,1.0
22722,1,1,5/13/2015,co,220004330,,1.0,,,1.0,20137,15,4.0,,1.0
22724,1,99,11/18/2014,co,220004332,,1.0,,,1.0,20547,999,999.0,999.0,999.0
22726,1,1,3/20/2015,co,220004334,,1.0,,,1.0,20146,17,1.0,,3.0
22728,8,1,2/13/2015,co,220004336,,1.0,,,1.0,20358,17,2.0,,
22729,1,1,11/9/2015,co,220004337,,1.0,,,1.0,20407,17,2.0,,1.0
22730,1,1,3/2/2015,co,220004338,,1.0,,,1.0,20151,17,4.0,,
22732,1,1,6/9/2015,co,220004340,,1.0,,,1.0,20383,17,4.0,,1.0
22737,1,1,7/31/2015,co,220004345,,1.0,,,1.0,20257,17,5.0,,
22740,1,1,8/11/2015,co,220004348,,1.0,,,1.0,20314,17,4.0,,1.0
22745,1,1,11/10/2015,co,220004353,,1.0,,,1.0,20403,16,4.0,,
23406,1,99,10/12/2015,nd,220006723,,1.0,1.0,,,20524,17,2.0,,
24725,8,99,1/9/2016,ca,230005396,1.0,1.0,,,,20565,999,999.0,999.0,999.0
27376,1,1,3/5/2015,ca,230011006,,,1.0,,1.0,20382,21,5.0,1.0,
27505,1,1,12/10/2014,nv,230011206,,1.0,1.0,,,20088,18,2.0,,1.0
27542,1,1,1/7/2015,ca,240001136,,1.0,,,1.0,20133,15,4.0,1.0,
27555,8,99,12/5/2014,ca,240001149,,1.0,,,1.0,20104,16,2.0,,
27570,1,99,7/27/2015,ca,240001164,,1.0,1.0,,1.0,20564,999,999.0,999.0,999.0
27583,8,1,10/18/2014,ca,240001177,,1.0,,,1.0,20074,14,4.0,1.0,
27584,8,1,10/4/2015,ca,240001178,,1.0,,,1.0,20003,16,5.0,,1.0
27585,1,99,11/11/2015,ca,240001179,,1.0,,,1.0,20564,999,999.0,999.0,999.0
27599,1,1,1/26/2016,ca,240001193,,1.0,1.0,,,20423,17,4.0,1.0,
27605,1,1,10/23/2015,ca,240001199,,1.0,,,1.0,20305,17,2.0,,
27613,1,99,11/26/2014,ca,240001208,,1.0,,,1.0,20075,14,4.0,1.0,1.0
27614,8,1,12/18/2015,ca,240001209,,1.0,,,1.0,20446,15,4.0,1.0,
27618,8,1,9/26/2015,ca,240001213,,1.0,,,1.0,20014,17,2.0,,
27621,1,99,1/15/2015,ca,240001216,,1.0,,,1.0,20350,15,5.0,,1.0
27634,1,99,11/22/2015,ca,240001229,,1.0,,,1.0,20423,16,5.0,,
27715,8,1,10/23/2015,ca,240001324,,1.0,1.0,,,20396,18,2.0,,
28131,1,99,2/12/2015,ca,250001609,,1.0,1.0,,,20373,17,4.0,,
28132,1,1,2/28/2015,ca,250001610,,1.0,1.0,,,20150,17,2.0,1.0,
28149,1,1,3/29/2016,ca,250001627,,1.0,1.0,,,20543,16,4.0,1.0,1.0
28154,1,99,10/13/2014,ca,250001632,,1.0,1.0,,,20202,17,2.0,,1.0
28169,1,1,10/13/2015,ca,250001647,,1.0,1.0,,,20542,17,4.0,1.0,
28210,1,1,10/26/2015,ca,250001689,,1.0,,,1.0,20538,17,5.0,,
28250,9,99,2/12/2016,ca,250001730,,1.0,,,1.0,20548,17,4.0,1.0,1.0
28253,9,99,1/13/2016,ca,250001733,,1.0,,,1.0,20547,17,4.0,,
28265,9,1,2/10/2016,ca,250001745,,1.0,,,1.0,20545,17,4.0,,1.0
28289,8,1,10/1/2014,nv,250001834,1.0,,,,1.0,20173,13,4.0,,1.0
28293,8,1,9/10/2014,nv,250001838,1.0,,,,1.0,20181,13,4.0,,1.0
28294,8,1,9/5/2014,nv,250001839,1.0,,,,1.0,20194,14,4.0,,1.0
28303,8,1,10/1/2014,nv,250001848,1.0,,,,1.0,20202,13,4.0,,1.0
28304,8,1,10/10/2014,nv,250001849,1.0,,,,1.0,20202,15,4.0,,
28308,8,1,10/10/2014,nv,250001853,1.0,,,,1.0,20202,14,4.0,,
28309,8,1,10/1/2014,nv,250001854,1.0,,,,1.0,20202,13,4.0,,1.0
28320,8,1,10/25/2014,nv,250001865,1.0,,,,1.0,20334,11,4.0,1.0,1.0
28321,8,1,10/17/2014,nv,250001866,1.0,,,,1.0,20209,14,4.0,,1.0
28322,8,2,10/19/2014,nv,250001867,1.0,,,,1.0,20279,13,,,1.0
28332,8,1,10/1/2014,nv,250001879,1.0,,,,1.0,20214,16,4.0,,1.0
28333,8,1,10/21/2014,nv,250001880,1.0,,,,1.0,20214,14,,,1.0
28334,8,1,10/1/2014,nv,250001881,1.0,,,,1.0,20214,14,4.0,,1.0
28335,8,1,10/21/2014,nv,250001882,1.0,,,,1.0,20216,14,4.0,1.0,1.0
28337,8,1,5/19/2015,nv,250001884,1.0,,,,1.0,20242,13,,,1.0
28339,8,1,5/19/2015,nv,250001886,1.0,,,,1.0,20242,11,4.0,1.0,1.0
28340,8,1,5/19/2015,nv,250001887,1.0,,,,1.0,20242,14,4.0,,1.0
28341,8,1,5/19/2015,nv,250001888,1.0,,,,1.0,20244,13,4.0,1.0,
28343,8,1,5/19/2015,nv,250001890,1.0,1.0,,,1.0,20244,12,4.0,,1.0
28344,8,1,5/19/2015,nv,250001891,1.0,,,,1.0,20244,15,4.0,,1.0
28345,8,1,5/19/2015,nv,250001892,1.0,,,,1.0,20244,15,4.0,1.0,
28348,8,1,6/6/2015,nv,250001895,1.0,,,,1.0,20256,15,4.0,,1.0
28350,8,1,6/25/2015,nv,250001897,1.0,,,,1.0,20269,12,4.0,,1.0
28351,8,99,6/26/2015,nv,250001898,1.0,,,,1.0,20562,13,4.0,,1.0
28352,8,1,6/25/2015,nv,250001899,1.0,,,,1.0,20269,11,4.0,,1.0
28353,8,1,9/12/2014,nv,250001900,1.0,,,,1.0,20279,12,4.0,,1.0
28355,8,1,7/1/2015,nv,250001903,1.0,,,,1.0,20291,15,,,
28356,8,1,7/1/2015,nv,250001904,1.0,,,,1.0,20291,12,4.0,,1.0
28358,8,1,7/24/2015,nv,250001906,1.0,,,,1.0,20307,11,4.0,,1.0
28363,8,1,7/28/2015,nv,250001912,1.0,,,,1.0,20307,14,4.0,1.0,1.0
28364,8,1,8/8/2015,nv,250001913,1.0,,,,1.0,20325,20,4.0,,1.0
28369,8,1,9/23/2015,nv,250001918,1.0,,,,1.0,20360,13,4.0,,
28374,8,1,12/2/2015,nv,250001923,1.0,,,,1.0,20458,11,4.0,,1.0
28375,8,1,12/2/2015,nv,250001924,1.0,,,,1.0,20458,11,4.0,1.0,1.0
28385,8,1,3/1/2016,nv,250001934,1.0,,,,1.0,20543,12,4.0,,1.0
28911,1,99,4/9/2015,ca,260000603,,1.0,,1.0,,20553,999,999.0,999.0,999.0
29038,99,99,10/22/2014,ca,260000734,1.0,1.0,,,,20255,14,999.0,,
29065,2,1,2/16/2016,nv,260001208,1.0,1.0,,,,20429,13,5.0,,1.0
29067,99,99,3/16/2015,nv,260001210,1.0,1.0,,,,20215,16,1.0,,1.0
29577,99,99,10/1/2015,wa,270000738,,1.0,,,1.0,20556,999,999.0,999.0,999.0
29594,1,99,12/4/2015,wa,270000755,,,1.0,,1.0,20559,999,999.0,999.0,999.0
29604,1,99,4/23/2014,wa,270000765,,,1.0,,1.0,20558,999,999.0,999.0,999.0
29612,1,1,4/21/2015,wa,270000773,,,1.0,,1.0,20248,20,4.0,,2.0
29613,1,1,10/21/2015,wa,270000774,,,1.0,,1.0,20396,19,4.0,,
29614,1,1,1/20/2016,wa,270000775,,,1.0,,1.0,20396,11,4.0,1.0,1.0
29615,1,1,12/3/2015,wa,270000776,,,1.0,,1.0,20425,19,4.0,,1.0
29649,99,99,11/22/2014,wa,270001189,,1.0,1.0,,,20534,17,2.0,,
29650,1,99,2/10/2015,wa,270001190,,1.0,1.0,,,20487,16,4.0,1.0,
29654,99,99,7/18/2015,wa,270001194,,1.0,1.0,,,20426,16,4.0,,
29656,99,99,10/8/2015,wa,270001196,,1.0,1.0,,,20509,17,4.0,,1.0
29687,99,1,12/3/2014,or,270001271,1.0,1.0,,,,20433,16,4.0,,1.0
29694,99,1,12/2/2015,or,270001278,1.0,1.0,,,,20384,13,999.0,1.0,
29695,99,1,6/14/2015,or,270001279,1.0,1.0,,,,20433,16,5.0,,
29712,9,99,10/8/2015,or,270001297,1.0,1.0,,,,20402,15,4.0,,
29718,99,1,9/30/2015,or,270001303,1.0,1.0,,,,20363,14,4.0,,1.0
29741,99,1,10/7/2015,or,270001328,1.0,1.0,,,,20328,15,4.0,,1.0
29749,99,99,10/13/2014,or,270001337,1.0,1.0,,,,20433,12,4.0,,1.0
30874,1,99,8/11/2014,ak,270002531,,1.0,1.0,,,20427,19,4.0,,1.0
30875,8,99,10/28/2014,ak,270002532,,1.0,1.0,,,20428,17,5.0,,
30932,1,99,11/3/2015,ak,270002589,,1.0,1.0,,,20556,999,999.0,999.0,999.0
31901,9,99,1/12/2016,or,280003459,,,1.0,,1.0,20569,999,999.0,999.0,999.0
31902,9,1,2/3/2016,or,280003460,,,1.0,,1.0,20363,18,4.0,,1.0
31903,9,99,1/26/2016,or,280003461,,,1.0,,1.0,20570,999,999.0,999.0,999.0
31904,8,1,1/11/2016,or,280003462,,,1.0,,1.0,20228,21,5.0,,1.0
31905,9,99,11/30/2015,or,280003463,,,1.0,,1.0,20569,999,999.0,999.0,999.0
31912,8,99,2/25/2016,or,280003470,1.0,,,,1.0,20569,999,999.0,999.0,999.0
31915,8,99,12/2/2014,or,280003473,1.0,,,,1.0,20579,999,999.0,999.0,999.0
31919,8,1,12/15/2014,or,280003478,1.0,,,,1.0,20216,14,4.0,,1.0
31921,8,99,8/5/2015,or,280003480,1.0,,,,1.0,20566,999,999.0,999.0,999.0
31926,8,99,11/21/2015,or,280003485,1.0,,,,1.0,20569,999,999.0,999.0,999.0
31929,8,2,1/22/2015,or,280003488,1.0,,,,1.0,20216,14,4.0,,1.0
31937,8,2,4/9/2015,or,280003498,1.0,,,,1.0,20220,17,999.0,999.0,
31942,8,2,3/31/2015,or,280003503,1.0,,,,1.0,20216,17,4.0,,
31947,8,2,3/26/2015,or,280003508,1.0,,,,1.0,20216,16,4.0,1.0,1.0
31960,8,99,11/10/2015,or,280003521,1.0,,,,1.0,20566,999,999.0,999.0,999.0
31965,8,99,6/8/2015,or,280003526,1.0,,,,1.0,20579,999,999.0,999.0,999.0
31971,8,99,6/8/2015,or,280003532,1.0,,,,1.0,20579,999,999.0,999.0,999.0
31974,8,99,11/10/2015,or,280003535,1.0,,,,1.0,20566,999,999.0,999.0,999.0
31975,8,99,2/9/2016,or,280003536,1.0,1.0,,,1.0,20565,999,999.0,999.0,999.0
31976,8,2,4/14/2015,or,280003537,1.0,,,,1.0,20216,15,4.0,,1.0
31978,9,99,2/24/2016,or,280003539,1.0,,,,1.0,20569,999,999.0,999.0,999.0
31984,9,99,2/19/2016,or,280003545,1.0,1.0,,,1.0,20566,999,999.0,999.0,999.0
31987,8,2,10/14/2014,or,280003548,1.0,,,,1.0,20213,14,4.0,,1.0
32005,9,99,3/12/2016,or,280003566,1.0,,,,1.0,20569,999,999.0,999.0,999.0
32006,8,1,2/4/2015,or,280003567,1.0,,,,1.0,20216,13,999.0,1.0,
32011,8,99,2/24/2016,or,280003572,1.0,,,,1.0,20569,999,999.0,999.0,999.0
32012,8,99,11/16/2015,or,280003573,1.0,,,,1.0,20566,999,999.0,999.0,999.0
32014,8,99,7/8/2015,or,280003575,1.0,,,,1.0,20579,999,999.0,999.0,999.0
32015,8,99,8/5/2015,or,280003576,1.0,,,,1.0,20566,999,999.0,999.0,999.0
32022,8,99,1/29/2016,or,280003585,1.0,,,,1.0,20569,999,999.0,999.0,999.0
32055,9,99,2/27/2016,or,280003618,1.0,1.0,,,1.0,20566,999,999.0,999.0,999.0
32346,1,1,9/30/2014,ct,290001131,,1.0,1.0,,,20424,17,4.0,1.0,1.0
32534,1,99,11/6/2014,ct,290001924,,,1.0,,1.0,20419,18,2.0,,
32561,1,1,9/15/2014,ct,290001951,,,1.0,,1.0,20389,20,2.0,,1.0
32563,1,1,3/11/2015,ct,290001953,,,1.0,,1.0,20419,21,2.0,,
32578,1,99,7/7/2014,ct,290001969,,,1.0,,1.0,20394,18,4.0,1.0,1.0
32594,1,99,4/19/2013,ct,290001985,,,1.0,,1.0,20568,20,2.0,,1.0
